Date,Close
2/01/2018,53.25
3/01/2018,54.12
4/01/2018,54.32
5/01/2018,55.11
8/01/2018,55.35
9/01/2018,55.31
10/01/2018,55.13
11/01/2018,55.28
12/01/2018,56.11
16/01/2018,56.09
17/01/2018,56.6
18/01/2018,56.49
19/01/2018,56.88
22/01/2018,57.79
23/01/2018,58.5
24/01/2018,58.21
25/01/2018,58.52
26/01/2018,58.79
29/01/2018,58.78
30/01/2018,58.18
31/01/2018,58.5
1/02/2018,58.39
2/02/2018,55.6
5/02/2018,52.79
6/02/2018,54.03
7/02/2018,52.43
8/02/2018,50.08
9/02/2018,51.89
12/02/2018,52.6
13/02/2018,52.61
14/02/2018,53.49
15/02/2018,54.48
16/02/2018,54.74
20/02/2018,55.12
21/02/2018,55.57
22/02/2018,55.33
23/02/2018,56.34
26/02/2018,57.19
27/02/2018,55.91
28/02/2018,55.24
1/03/2018,53.48
2/03/2018,53.95
5/03/2018,54.55
6/03/2018,54.75
7/03/2018,55.48
8/03/2018,56.3
9/03/2018,58
12/03/2018,58.23
13/03/2018,56.91
14/03/2018,57.47
15/03/2018,57.48
16/03/2018,56.79
19/03/2018,54.99
20/03/2018,54.89
21/03/2018,54.54
22/03/2018,52.45
23/03/2018,51.08
26/03/2018,52.66
27/03/2018,50.26
28/03/2018,50.23
29/03/2018,51.59
2/04/2018,50.32
3/04/2018,50.67
4/04/2018,51.26
5/04/2018,51.39
6/04/2018,50.35
9/04/2018,50.77
10/04/2018,51.58
11/04/2018,51
12/04/2018,51.63
13/04/2018,51.46
16/04/2018,51.9
17/04/2018,53.71
18/04/2018,53.6
19/04/2018,54.39
20/04/2018,53.65
23/04/2018,53.37
24/04/2018,51
25/04/2018,51.06
26/04/2018,52
27/04/2018,51.5
30/04/2018,50.87
1/05/2018,51.87
2/05/2018,51.22
3/05/2018,51.19
4/05/2018,52.41
7/05/2018,52.74
8/05/2018,52.7
9/05/2018,54.14
10/05/2018,54.88
11/05/2018,54.91
14/05/2018,55.01
15/05/2018,53.96
16/05/2018,54.09
17/05/2018,53.93
18/05/2018,53.32
21/05/2018,53.98
22/05/2018,53.49
23/05/2018,53.98
24/05/2018,53.96
25/05/2018,53.78
29/05/2018,53.02
30/05/2018,53.39
31/05/2018,54.25
1/06/2018,55.98
4/06/2018,56.96
5/06/2018,56.98
6/06/2018,56.84
7/06/2018,56.19
8/06/2018,56.04
11/06/2018,56.5
12/06/2018,56.97
13/06/2018,56.74
14/06/2018,57.61
15/06/2018,57.61
18/06/2018,58.67
19/06/2018,58.4
20/06/2018,58.49
21/06/2018,57.88
22/06/2018,57.77
25/06/2018,56.24
26/06/2018,55.92
27/06/2018,55.2
28/06/2018,55.71
29/06/2018,55.78
2/07/2018,56.37
3/07/2018,55.14
5/07/2018,56.21
6/07/2018,57.01
9/07/2018,57.7
10/07/2018,57.64
11/07/2018,57.7
12/07/2018,59.17
13/07/2018,59.44
16/07/2018,59.19
17/07/2018,59.94
18/07/2018,59.79
19/07/2018,59.35
20/07/2018,59.25
23/07/2018,60.28
24/07/2018,62.4
25/07/2018,63.19
26/07/2018,63.42
27/07/2018,61.93
30/07/2018,60.99
31/07/2018,60.86
1/08/2018,61
2/08/2018,61.31
3/08/2018,61.19
6/08/2018,61.24
7/08/2018,62.11
8/08/2018,62.28
9/08/2018,62.46
10/08/2018,61.88
13/08/2018,61.75
14/08/2018,62.11
15/08/2018,60.72
16/08/2018,60.32
17/08/2018,60.05
20/08/2018,60.39
21/08/2018,60.08
22/08/2018,60.37
23/08/2018,60.27
24/08/2018,61.03
27/08/2018,62.09
28/08/2018,61.56
29/08/2018,62.47
30/08/2018,61.96
31/08/2018,60.91
4/09/2018,59.85
5/09/2018,59.32
6/09/2018,58.57
7/09/2018,58.24
10/09/2018,58.23
11/09/2018,58.87
12/09/2018,58.14
13/09/2018,58.77
14/09/2018,58.63
17/09/2018,57.8
18/09/2018,58.06
19/09/2018,58.55
20/09/2018,59.34
21/09/2018,58.3
24/09/2018,58.67
25/09/2018,59.23
26/09/2018,59.02
27/09/2018,59.73
28/09/2018,59.67
1/10/2018,59.77
2/10/2018,60.01
3/10/2018,60.15
4/10/2018,58.41
5/10/2018,57.87
8/10/2018,57.45
9/10/2018,56.94
10/10/2018,54.06
11/10/2018,53.97
12/10/2018,55.5
15/10/2018,54.61
16/10/2018,56.06
17/10/2018,55.78
18/10/2018,54.4
19/10/2018,54.82
22/10/2018,55.06
23/10/2018,55.18
24/10/2018,52.54
25/10/2018,54.78
26/10/2018,53.57
29/10/2018,51
30/10/2018,51.81
31/10/2018,53.84
1/11/2018,53.5
2/11/2018,52.89
5/11/2018,52
6/11/2018,52.79
7/11/2018,54.67
8/11/2018,54.12
9/11/2018,53.31
12/11/2018,51.93
13/11/2018,51.8
14/11/2018,52.18
15/11/2018,53.24
16/11/2018,53.07
19/11/2018,51
20/11/2018,51.29
21/11/2018,51.88
23/11/2018,51.19
26/11/2018,52.43
27/11/2018,52.22
28/11/2018,54.31
29/11/2018,54.42
30/11/2018,54.72
3/12/2018,55.32
4/12/2018,52.54
6/12/2018,53.44
7/12/2018,51.83
10/12/2018,51.98
11/12/2018,52.59
12/12/2018,53.18
13/12/2018,53.1
14/12/2018,52.11
17/12/2018,50.83
18/12/2018,51.44
19/12/2018,51.15
20/12/2018,50.47
21/12/2018,48.98
24/12/2018,48.81
26/12/2018,51.97
27/12/2018,52.19
28/12/2018,51.85
